gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV MMP11	PV MYH11	PV STEAP4	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.0	0.286	0.038	0.0	0.0	0.056	0.159	0.0	0.5	0.346	0.24	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.018	0.095	0.179	0.029	0.1	0.179	0.0	0.0	0.071	0.206	0.293	0.096	0.136	0.0	0.016	0.019	0.008	0.041	0.0	0.0	0.048	0.071	0.027	0.035
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.0	0.286	0.038	0.0	0.0	0.056	0.159	0.0	0.5	0.346	0.24	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.018	0.095	0.179	0.029	0.1	0.179	0.0	0.0	0.071	0.206	0.293	0.096	0.136	0.0	0.016	0.019	0.008	0.041	0.0	0.0	0.048	0.071	0.027	0.035
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC05C1C7836	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC10A4	CPI-CS0F7CB92EE	CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
